Blocks Per Game
2001-02 NBA 2.1 (9th)
2006-07 NBA 2.1 (8th)
2009-10 NBA 1.7 (8th)
2014-15 NBA 1.9 (8th)
2015-16 NBA 2.0 (5th)
Active 1.7 (8th)
Career NBA 1.7 (40th)
Career 1.7 (42nd)
