Rebounds Per Game
2008-09 NBA 9.6 (8th)
2010-11 NBA 10.2 (6th)
2011-12 NBA 10.4 (7th)
2014-15 NBA 11.8 (4th)
2015-16 NBA 11.0 (6th)
Active 9.5 (6th)
Career NBA 9.5 (67th)
Career 9.5 (75th)
