Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Emeka Okafor,,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,,,,,
Red Rocha,89.9,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,,,,,
Ray Felix,87.3,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8,,,,,
Darryl Dawkins,87.1,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,0.0,-0.2
Sam Lacey,86.5,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.6,0.3,-0.1,
Chuck Share,85.7,8.6,8.1,6.7,4.7,4.2,4.0,3.3,1.3,,,,,,
Jim Fox,83.9,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,,,,
Andrew Bynum,83.0,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,,,,
Brook Lopez,83.0,9.0,7.9,7.0,6.3,6.2,5.8,2.3,0.3,,,,,,
Marcin Gortat,82.2,8.6,8.1,7.6,7.3,6.4,3.4,3.4,3.3,0.1,,,,,
Byron Beck,82.2,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,,,,
