Rebounds Per Game
2004-05 NBA 10.9 (4th)
2007-08 NBA 10.7 (6th)
2008-09 NBA 10.1 (5th)
2010-11 NBA 9.5 (9th)
Career NBA 9.9 (47th)
Career 9.9 (56th)
