Total Rebound Pct
2006-07 NBA 19.2 (9th)
2007-08 NBA 18.5 (10th)
2008-09 NBA 19.0 (9th)
2009-10 NBA 18.4 (8th)
2012-13 NBA 18.7 (10th)
Career NBA 18.3 (16th)
Career 18.3 (18th)
