Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jacque Vaughn,,3.5,3.0,2.0,1.8,1.7,1.6,1.5,0.4,0.1,0.1,0.0,-0.4
Frank Johnson,85.4,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,,
John Battle,85.3,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,
Sasha Vujacic,84.8,3.7,3.6,2.1,2.0,1.8,1.4,1.1,0.2,-0.1,,,
Dudley Bradley,84.6,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,,
Clint Richardson,84.5,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1.0,,,,
Fatty Taylor,82.3,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,,,
Rod Thorn,81.9,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,,,
Steve Colter,81.6,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,,
Jim King,80.4,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,,
J.J. Barea,80.1,3.2,2.8,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1,,
