Player Efficiency Rating
2003-04 NBA 21.9 (10th)
2004-05 NBA 23.2 (9th)
2005-06 NBA 25.6 (8th)
2006-07 NBA 26.5 (3rd)
Career NBA 23.0 (21st)
Career 23.0 (22nd)
