Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Yao Ming,,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,,,,,
Mel Daniels,91.1,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,,,
Marc Gasol,84.6,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7,,,,,
Brad Daugherty,83.7,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,,,
Dave Cowens,77.3,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,,
Clyde Lovellette,77.3,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,
Willis Reed,74.5,14.7,14.6,10.6,10.0,7.9,5.8,5.5,3.6,1.5,0.6,,,
Joakim Noah,73.7,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,1.1,,,,
Swen Nater,73.6,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
DeAndre Jordan,73.0,12.8,11.5,11.1,6.2,5.6,5.2,1.5,1.3,,,,,
Dave Robisch,72.3,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
