Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,HOU,NBA,C,5,5,37.0,6.2,13.6,.456,0.0,0.0,,6.2,13.6,.456,.456,2.6,3.4,.765,2.2,5.2,7.4,1.8,0.4,1.4,2.6,4.0,15.0
2004-05,24,HOU,NBA,C,7,7,31.4,7.9,12.0,.655,0.0,0.0,,7.9,12.0,.655,.655,5.7,7.9,.727,3.3,4.4,7.7,0.7,0.3,2.7,2.7,4.4,21.4
2006-07,26,HOU,NBA,C,7,7,37.1,7.9,17.9,.440,0.0,0.0,,7.9,17.9,.440,.440,9.4,10.7,.880,3.3,7.0,10.3,0.9,0.1,0.7,4.7,3.9,25.1
2008-09,28,HOU,NBA,C,9,9,35.9,6.0,11.0,.545,0.0,0.0,,6.0,11.0,.545,.545,5.1,5.7,.902,2.1,8.8,10.9,1.0,0.4,1.2,1.9,3.0,17.1
