Season,Team,Lg,Salary
2009-10,New Orleans Hornets,NBA,"$1,266,120"
2010-11,Indiana Pacers,NBA,"$1,361,040"
2011-12,Indiana Pacers,NBA,"$1,455,960"
2012-13,Dallas Mavericks,NBA,"$2,319,344"
2013-14,Los Angeles Clippers,NBA,"$1,900,000"
2014-15,Sacramento Kings,NBA,"$4,797,664"
2015-16,Sacramento Kings,NBA,"$5,013,559"
