Player,Sim,1,2,3,4,5,6,7
Darren Collison,,5.9,5.6,5.2,4.3,3.8,3.8,2.9
Nate McMillan,95.1,6.5,5.6,4.9,4.4,4.1,3.7,2.8
Johnny Davis,93.3,5.7,5.2,5.1,4.4,4.3,3.5,2.5
Bill Keller,92.6,6.1,5.4,4.4,4.1,4.0,3.6,2.7
Brandon Jennings,89.0,5.8,5.5,4.2,3.9,3.9,3.3,1.5
Jameer Nelson,88.4,6.6,6.0,5.6,5.0,4.9,4.0,2.5
Brian Winters,88.4,6.2,6.0,5.1,5.0,4.2,3.5,1.1
Mario Chalmers,87.9,5.2,5.2,4.8,4.3,2.9,2.8,2.7
Odie Spears,87.5,5.6,5.2,4.7,3.8,3.3,3.1,2.0
Adrian Smith,86.7,6.1,5.2,5.1,4.4,3.4,1.9,1.8
Kyle Lowry,86.5,7.0,5.6,4.9,4.3,3.6,3.4,0.5
