Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,29,5,600,7.8,18.0,.432,0.8,2.5,.310,7.0,15.4,.452,5.8,6.9,.835,1.5,3.2,4.7,7.3,2.2,0.3,2.8,3.1,22.1,,111,110
2 seasons,,IND,NBA,,16,5,351,8.3,17.9,.466,1.2,2.6,.471,7.1,15.2,.465,4.2,5.2,.794,1.1,3.1,4.2,8.2,2.9,0.3,3.1,2.8,22.0,,113,105
1 season,,LAC,NBA,,13,0,249,7.0,18.1,.389,0.2,2.4,.083,6.8,15.7,.436,7.8,9.0,.867,2.0,3.4,5.4,6.2,1.2,0.2,2.4,3.4,22.1,,110,116
