Player,Sim,1,2,3,4,5,6,7
Marcus Thornton,,4.0,3.8,3.5,3.2,2.0,1.7,1.2
Henry Bibby,90.1,4.7,4.1,3.7,2.9,2.3,1.5,1.0
Ernie Grunfeld,90.1,4.3,4.3,3.5,2.5,2.2,1.6,1.4
Kelvin Ransey,88.1,3.8,3.7,3.4,2.8,2.2,2.0,
Bill Hanzlik,87.2,4.7,4.1,3.5,2.4,2.2,1.9,1.0
Mickael Pietrus,87.2,3.6,3.6,3.0,2.8,2.1,1.5,0.6
Calbert Cheaney,85.6,4.1,3.9,3.2,3.2,1.2,0.8,0.4
Randy Foye,85.4,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Jack George,85.4,4.6,3.8,3.4,1.8,1.5,1.5,1.2
C.J. Watson,85.3,3.8,3.3,3.2,3.1,2.6,2.1,0.4
Mike Glenn,85.2,4.4,3.9,2.9,2.8,2.8,2.1,1.9
