Player,Sim,1,2,3,4,5,6,7,8,9,10
Marcus Thornton,,4.0,3.8,3.5,3.2,2.0,1.7,1.2,,,
Kelvin Ransey,88.1,3.8,3.7,3.4,2.8,2.2,2.0,,,,
Maurice Evans,85.9,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,
Jack George,84.8,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,,
Carlos Delfino,84.5,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,
Jerry Sichting,83.9,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Carlos Arroyo,83.9,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,
Rod Thorn,83.8,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,
Mickael Pietrus,83.6,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0
C.J. Watson,83.5,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.6,0.4,
Darnell Valentine,83.3,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,
