Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kenyon Martin,,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0.0
Junior Bridgeman,93.7,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,,
Thurl Bailey,92.5,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,,
Caron Butler,92.5,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3,
Orlando Woolridge,89.0,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,,
Jeff Foster,89.0,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,,
Larry Smith,88.1,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,1.2,0.3,,
Bruce Bowen,87.9,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0,,
Marvin Williams,87.9,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3,,,,
John Salley,87.8,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,,,,
Cliff Levingston,87.3,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,,,
