Player,Sim,1,2,3,4,5,6,7
Brandon Jennings,,5.8,5.5,4.2,3.9,3.9,3.3,1.5
Bill Keller,92.4,6.1,5.4,4.4,4.1,4.0,3.6,2.7
Odie Spears,91.2,5.6,5.2,4.7,3.8,3.3,3.1,2.0
Pooh Richardson,90.6,5.9,4.4,4.1,4.0,3.8,2.1,1.4
Darren Collison,89.0,5.9,5.6,5.2,4.3,3.8,3.8,2.9
Paul Neumann,88.8,6.5,5.8,4.6,4.2,4.0,3.2,
Johnny Davis,88.6,5.7,5.2,5.1,4.4,4.3,3.5,2.5
K.C. Jones,88.3,6.7,5.8,4.9,3.7,3.6,3.0,0.8
Nate McMillan,87.9,6.5,5.6,4.9,4.4,4.1,3.7,2.8
Brian Winters,87.6,6.2,6.0,5.1,5.0,4.2,3.5,1.1
Kyle Lowry,87.4,7.0,5.6,4.9,4.3,3.6,3.4,0.5
