Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Brandon Jennings,,5.8,5.5,4.2,3.9,3.9,3.3,1.5,,,,,
Bill Keller,92.4,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,,,,
Odie Spears,91.2,5.6,5.2,4.7,3.8,3.3,3.1,2.0,,,,,
Darren Collison,89.0,5.9,5.6,5.2,4.3,3.8,3.8,2.9,,,,,
Paul Neumann,88.8,6.5,5.8,4.6,4.2,4.0,3.2,,,,,,
Pooh Richardson,87.4,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,
Bobby Phills,87.1,7.1,5.0,4.0,3.5,3.2,3.0,1.5,-0.1,-0.1,,,
Ramon Sessions,86.0,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.7,,,
Ricky Davis,85.8,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Bonzi Wells,85.8,6.0,5.9,4.0,3.4,3.1,3.1,3.0,0.9,0.1,-0.1,,
Rory Sparrow,84.5,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1.0,0.7,0.5,-0.1,-0.4
