Player,Sim,1,2,3
Pape Sow,,0.6,0.2,0.1
Henry James,80.9,0.6,0.3,0.2
Anthony Frederick,78.1,0.5,0.2,0.0
Ron Grandison,71.5,0.6,0.0,0.0
Anthony Cook,70.1,0.5,0.4,0.1
Gene James,69.4,0.5,0.3,0.1
Adrian Caldwell,68.6,0.4,0.1,0.0
Donny Marshall,67.3,0.6,0.2,-0.1
Larry Spriggs,64.5,0.5,0.1,0.0
Joey Dorsey,64.0,0.8,0.1,0.0
Daniel Orton,62.9,0.5,0.3,0.3
