Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,14,6,383,68,175,.389,17,47,.362,51,128,.398,.437,56,60,.933,6,19,25,48,9,0,27,12,209
2 seasons,,ORL,NBA,,8,0,162,24,69,.348,0,8,.000,24,61,.393,.348,20,22,.909,5,8,13,15,1,0,11,7,68
1 season,,MIN,NBA,,6,6,221,44,106,.415,17,39,.436,27,67,.403,.495,36,38,.947,1,11,12,33,8,0,16,5,141
