Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Troy Hudson,,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0.1,0.0,-0.1,-0.2,,
Ed Fleming,83.1,5.0,2.0,1.2,1.0,0.8,,,,,,,,
Darrick Martin,82.8,4.6,1.9,1.3,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0.0,-0.1,-0.2
Kevin Edwards,79.5,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2,,
Matt Maloney,79.3,5.3,2.2,1.5,0.7,0.1,-0.3,,,,,,,
Johnny Neumann,78.6,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,,,,,
Pep Saul,78.3,4.2,2.8,1.5,0.8,0.6,,,,,,,,
Rick Mount,77.3,4.6,3.5,1.1,0.7,0.6,,,,,,,,
Gene Vance,76.2,5.3,2.2,1.6,1.3,0.0,,,,,,,,
Evan Fournier,75.9,5.7,2.1,1.4,1.0,,,,,,,,,
Jason Hart,75.1,4.8,1.9,1.5,0.4,0.3,0.1,0.0,0.0,-0.3,,,,
