Player,Sim,1,2,3,4
Henry Sims,,2.1,2.1,0.4,0.0
Hasheem Thabeet,89.6,2.2,2.0,0.3,0.3
Ed Kalafat,85.3,2.6,2.1,0.7,
Dewayne Dedmon,83.6,2.4,1.7,0.6,
Gene Conley,83.3,2.8,2.1,0.4,0.0
Luc Longley,83.3,2.2,1.8,0.2,0.2
Will Perdue,82.7,2.5,2.3,0.5,-0.1
Jeff Withey,81.8,2.3,1.8,0.8,
Mikki Moore,79.4,2.8,2.2,0.6,0.1
Howie Schultz,77.0,3.0,2.0,0.6,
Spencer Hawes,76.9,2.4,2.1,0.8,0.6
