Player,Sim,1,2,3,4,5,6,7,8,9,10
Eric Bledsoe,,7.0,4.1,3.7,2.5,0.3,0.2,,,,
Reggie Jackson,86.8,6.9,4.9,4.9,2.5,0.1,,,,,
Bob Donham,85.1,6.1,4.5,3.8,3.5,,,,,,
Ted McClain,84.6,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,
Lewis Lloyd,82.3,6.3,4.7,4.6,2.6,1.6,0.1,0.0,,,
Bob Verga,81.6,8.2,3.8,3.3,2.8,1.5,0.1,,,,
Jim Seminoff,80.8,5.4,4.5,3.6,3.4,,,,,,
Randy Wittman,80.1,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0,
Bobby Simmons,80.0,6.8,5.3,3.4,2.0,0.9,0.7,0.7,0.3,0.1,0.0
Dean Meminger,79.7,5.0,4.4,3.9,2.2,1.0,0.2,,,,
Rudy Fernandez,78.1,6.1,3.8,3.0,1.2,,,,,,
