Player,Sim,1,2,3,4,5,6,7,8
Jelani McCoy,,1.5,1.4,1.1,1.0,0.1,0.0,0.0,0.0
Dick Cunningham,80.8,1.2,1.0,1.0,1.0,0.0,0.0,0.0,
Luther Rackley,78.4,1.9,1.8,1.3,0.8,0.1,,,
Jawann Oldham,75.6,1.3,1.2,1.0,0.5,0.3,0.0,0.0,0.0
Walt Davis,74.4,1.6,0.9,0.9,0.8,0.6,,,
Clifford Rozier,73.6,1.6,1.3,1.1,-0.1,,,,
Aaron Gray,72.1,1.4,1.3,1.1,0.9,0.8,0.5,0.1,
Rickey Brown,71.2,1.8,0.9,0.9,0.7,0.4,,,
Eric Leckner,70.9,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1
Predrag Drobnjak,70.2,2.4,1.6,1.0,0.7,,,,
John Lambert,68.9,1.8,1.5,1.0,0.9,0.7,0.6,0.4,
