Player,Sim,1,2,3,4,5,6,7
Harrison Barnes,,6.7,4.9,3.2,2.8,,,
P.J. Tucker,93.0,6.1,4.9,3.5,2.9,0.1,,
Randolph Mahaffey,88.8,5.7,4.7,3.7,2.6,,,
Ernie Vandeweghe,88.4,7.1,4.8,3.9,2.1,0.3,-0.1,
Tobias Harris,87.6,6.6,4.8,4.1,2.4,0.9,,
Jack Kerris,83.1,5.9,5.7,4.1,2.1,,,
Bones McKinney,81.5,7.1,4.9,3.3,0.2,0.0,-0.2,
Khris Middleton,80.1,6.7,6.1,2.7,0.9,,,
DeMarre Carroll,79.9,7.0,5.8,3.1,1.2,0.5,0.5,0.1
Jamario Moon,79.8,5.7,4.9,2.9,1.1,-0.3,,
Willie Murrell,79.7,7.0,4.6,3.1,,,,
