Player,Sim,1,2,3,4,5,6,7,8,9
Moochie Norris,,4.4,1.8,1.7,1.7,0.8,0.3,-0.1,-0.2,-0.4
Johnny Neumann,78.8,4.6,2.0,1.6,0.8,0.6,0.0,-0.1,,
Brandon Knight,77.3,4.5,2.8,1.7,1.3,1.1,,,,
Ron Mercer,77.1,4.0,1.8,1.8,1.3,1.3,0.4,-0.1,-1.1,
Lee Winfield,76.8,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,
Ron Lee,76.1,3.8,2.8,1.6,1.4,0.8,0.3,,,
Sonny Hertzberg,76.1,4.0,2.5,2.3,1.4,0.7,,,,
Ernie Beck,75.5,4.3,2.1,1.1,0.9,0.9,0.1,-0.4,,
Darrick Martin,75.4,4.6,1.9,1.3,0.7,0.5,0.2,0.1,0.0,-0.2
Kevin Edwards,74.4,5.1,2.5,2.4,1.6,0.6,0.5,0.3,-0.2,-0.2
Toney Douglas,74.0,4.2,2.5,2.4,2.2,0.9,0.2,-0.6,,
