Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Ervin Johnson,,6.4,5.2,5.1,4.9,3.9,3.0,2.3,2.3,1.9,1.3,0.8,0.7,0.0
LaSalle Thompson,89.7,5.6,5.3,4.9,4.5,4.4,2.4,2.3,1.9,1.6,1.2,0.9,0.1,0.0
Steve Hawes,87.7,6.1,6.0,5.7,5.4,3.4,3.2,2.5,1.9,1.8,1.0,,,
Greg Ostertag,87.4,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,,
Olden Polynice,87.4,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2.0,1.6,1.5,1.5
Wayne Embry,87.0,6.7,6.3,5.6,4.5,3.4,3.4,2.0,1.9,1.5,1.2,1.1,,
Dave Corzine,86.6,5.2,5.1,4.9,4.7,4.2,4.0,2.9,2.9,1.4,1.1,0.9,0.4,-0.2
Kent Benson,85.7,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0,,
Tony Battie,85.1,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2.0,0.6,0.5,0.0
Benoit Benjamin,84.4,5.4,5.1,4.1,4.0,3.0,2.3,2.2,2.2,2.0,1.1,0.9,0.4,0.0
Zaza Pachulia,84.1,6.0,5.0,4.8,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3
