Total Rebound Pct
1996-97 NBA 20.0 (3rd)
1997-98 NBA 18.5 (6th)
1998-99 NBA 18.8 (5th)
2000-01 NBA 17.5 (9th)
Career NBA 17.7 (25th)
Career 17.7 (28th)
