Offensive Rebound Pct
1997-98 NBA 12.9 (7th)
1998-99 NBA 14.3 (4th)
1999-00 NBA 12.8 (8th)
2000-01 NBA 11.8 (7th)
Career NBA 11.7 (29th)
Career 11.7 (31st)
