Free Throw Attempts
1996-97 NBA 667 (2nd)
1999-00 NBA 758 (2nd)
2000-01 NBA 810 (2nd)
2001-02 NBA 577 (7th)
Career NBA 5659 (53rd)
Career 5659 (58th)
