Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,62,25,1511,220,538,.409,74,224,.330,146,314,.465,.478,93,115,.809,15,94,109,160,30,8,95,138,607
3 seasons,,CLE,NBA,,38,25,1020,140,351,.399,55,159,.346,85,192,.443,.477,71,91,.780,12,73,85,120,20,3,63,86,406
1 season,,LAC,NBA,,11,0,229,41,94,.436,12,33,.364,29,61,.475,.500,12,13,.923,1,8,9,15,6,5,12,16,106
1 season,,POR,NBA,,8,0,187,22,59,.373,5,21,.238,17,38,.447,.415,10,11,.909,2,10,12,15,3,0,14,24,59
1 season,,MIL,NBA,,5,0,75,17,34,.500,2,11,.182,15,23,.652,.529,0,0,,0,3,3,10,1,0,6,12,36
