Player,Sim,1,2,3,4,5,6,7,8,9
Jeremy Evans,,2.8,1.6,1.3,0.9,0.9,0.6,,,
Charles Shackleford,87.2,2.7,1.5,0.9,0.8,0.8,0.7,,,
Marty Conlon,86.5,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1
Sam Mack,81.1,2.8,1.9,1.3,1.1,0.3,0.0,-0.1,,
Mark Madsen,80.9,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3
Ike Diogu,79.5,2.6,1.5,1.0,0.7,0.7,0.0,,,
Richard Anderson,79.4,2.3,2.1,1.3,1.0,0.5,0.5,,,
Jarvis Hayes,78.8,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,
Mark Alarie,78.3,3.1,2.2,1.5,0.9,0.6,,,,
Rory White,78.3,2.6,1.5,1.0,1.0,0.4,,,,
George Lee,77.7,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,,
