Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jared Jeffries,,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3,
Bill Willoughby,86.0,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,,,,
Ryan Bowen,85.1,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,,
Brad Lohaus,84.7,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,
Earl Cureton,82.8,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7,0.0,0.0,-0.1
Toby Kimball,81.9,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,,,
Steve Kuberski,81.6,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0,,,
Tim Bassett,80.6,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,,,,
Terry Teagle,79.9,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0.0,-0.2,-0.8,
Corky Calhoun,79.8,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0,,,,
Monty Williams,79.8,3.1,2.9,2.3,1.3,1.2,0.5,0.3,0.0,-0.1,,,
