Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2001-02,19,BARTONCCC,32,784,229,405,1,2,79,138,,216,34,,,,,538,.565,.500,.572,24.5,16.8,6.8,1.1
2002-03,20,BARTONCCC,29,801,203,408,1,4,84,146,,224,30,,,,,491,.498,.250,.575,27.6,16.9,7.7,1.0
2003-04,21,CINCY,22,286,48,138,0,1,31,47,,54,14,,,,,127,.348,.000,.660,13.0,5.8,2.5,0.6
2004-05,22,WALSHOH,35,1049,294,574,3,14,105,183,,263,48,,,,,696,.512,.214,.574,30.0,19.9,7.5,1.4
