Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Greg Monroe,,7.5,7.0,6.8,6.6,5.9,5.9,,,,,,,
Brook Lopez,87.1,9.0,7.9,7.0,6.3,6.2,5.8,2.3,0.3,,,,,
Andrew Bynum,85.6,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,,,
Emeka Okafor,78.7,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,,,,
Arvydas Sabonis,78.6,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,,,
Red Rocha,77.3,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,,,,
Marcin Gortat,73.1,8.6,8.1,7.6,7.3,6.4,3.4,3.4,3.3,0.1,,,,
Elmore Smith,73.1,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,,,
Ray Felix,73.0,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8,,,,
Chuck Share,72.2,8.6,8.1,6.7,4.7,4.2,4.0,3.3,1.3,,,,,
Sam Lacey,71.5,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.6,0.3,-0.1
