Field Goal Attempts
2000-01 NBA 1812 (3rd)
2005-06 NBA 1494 (10th)
2007-08 NBA 1417 (9th)
2008-09 NBA 1441 (5th)
2011-12 NBA 1044 (10th)
Career NBA 17024 (33rd)
Career 17024 (37th)
