Field Goals Missed
2000-01 NBA 1012 (3rd)
2005-06 NBA 834 (6th)
2007-08 NBA 799 (8th)
2008-09 NBA 767 (6th)
2011-12 NBA 623 (5th)
Career NBA 9345 (32nd)
Career 9345 (36th)
