Player,Sim,1,2,3,4,5,6,7,8,9,10
Michael Olowokandi,,1.6,1.2,1.2,0.3,-0.1,-0.2,-0.3,-0.4,-0.8,
Clifford Rozier,51.0,1.6,1.3,1.1,-0.1,,,,,,
Jelani McCoy,45.1,1.5,1.4,1.1,1.0,0.1,0.0,0.0,0.0,,
Charlie Tyra,43.1,2.3,1.5,1.1,0.2,-0.2,,,,,
Jawann Oldham,42.8,1.3,1.2,1.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0
George Nostrand,39.7,2.0,2.0,1.3,0.4,,,,,,
Luther Rackley,35.9,1.9,1.8,1.3,0.8,0.1,,,,,
Predrag Drobnjak,31.7,2.4,1.6,1.0,0.7,,,,,,
Jerome James,31.0,1.2,0.9,0.8,0.7,0.1,0.0,-0.1,-0.2,-0.5,
Dick Cunningham,30.8,1.2,1.0,1.0,1.0,0.0,0.0,0.0,,,
Rickey Brown,29.7,1.8,0.9,0.9,0.7,0.4,,,,,
