Player,Sim,1,2,3,4,5,6,7,8
Henry Walker,,1.9,1.1,0.9,0.5,0.5,,,
Bob Portman,87.7,1.9,1.2,0.8,0.5,,,,
Pete Verhoeven,87.4,2.1,1.2,0.8,0.7,0.4,0.0,,
Cliff Meely,84.3,1.8,1.2,1.0,0.4,0.2,,,
Tony Brown,83.9,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
Reggie Slater,81.9,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Solomon Jones,81.8,1.9,1.6,0.8,0.5,0.3,0.0,0.0,-0.1
Tellis Frank,80.1,2.0,1.1,0.6,0.3,0.1,,,
Byron Houston,76.5,1.8,0.9,0.7,0.5,,,,
Gary Gregor,76.0,1.4,1.1,0.8,0.5,0.5,-0.4,,
Luke Babbitt,75.1,1.6,1.1,0.7,0.7,0.7,-0.4,,
