Player,Sim,1,2,3,4,5,6,7,8
Courtney Lee,,4.8,4.7,4.4,3.9,3.3,3.2,3.1,2.7
Trent Tucker,92.3,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9
Chris Ford,92.2,5.6,4.7,4.3,3.6,3.5,2.8,2.7,2.5
Mario Chalmers,91.2,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7
Mike Gale,90.0,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.0
Greg Anthony,89.7,5.5,4.8,4.6,3.5,2.9,2.8,2.7,2.2
Sherman Douglas,88.9,5.4,4.6,4.4,4.2,3.3,2.7,2.6,1.0
Chucky Atkins,88.7,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5
John Mengelt,88.5,4.0,3.9,3.9,3.7,3.5,3.2,3.0,2.3
Rodney Stuckey,88.1,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0
Gerald Wilkins,87.7,4.4,4.3,4.0,3.5,3.4,3.3,3.0,0.7
