Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Courtney Lee,,4.8,4.7,4.4,3.9,3.3,3.2,3.1,2.7,,,,,,
Mario Chalmers,91.2,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,,,,,,
Allen Leavell,90.2,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,,,
Sherman Douglas,88.7,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1,,
Chucky Atkins,87.2,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,,,
John Mengelt,87.0,4.0,3.9,3.9,3.7,3.5,3.2,3.0,2.3,0.6,-0.1,,,,
Ricky Sobers,85.4,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,
John Long,84.1,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.5,0.2,0.2,0.2,0.1
Don Ohl,84.0,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,,,,
Chris Ford,83.9,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1,,,,
Rodney Stuckey,83.5,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,,,,,
