Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,358,10442,2%,38%,59%,1%,,-0.3,-1.7,368,137,136,252,0,39,0,1896,78,31,163
2 seasons,,HOU,NBA,,104,4109,,34%,65%,,,+2.1,+1.0,133,50,48,146,0,22,0,677,38,7,45
2 seasons,,PHO,NBA,,67,1417,11%,48%,41%,,,+1.1,-7.9,58,17,14,88,0,4,0,294,13,1,16
1 season,,SAC,NBA,,63,1309,1%,51%,48%,,,+2.3,-6.4,46,14,20,59,0,10,0,272,29,13,31
1 season,,MIA,NBA,,55,1825,,10%,88%,2%,,-0.2,+2.9,55,29,22,81,0,12,0,298,21,6,31
1 season,,CLE,NBA,,39,1140,,66%,31%,2%,,-7.0,-3.1,45,19,18,52,0,7,0,238,28,3,21
1 season,,ATL,NBA,,17,550,,57%,43%,,,-12.1,-7.3,26,8,14,18,0,5,0,109,24,1,19
1 season,,LAL,NBA,,13,92,,34%,66%,,,-10.5,-13.3,5,0,0,5,0,0,0,8,0,0,0
