Player,Sim,1,2,3,4
Kaniel Dickens,,0.0,0.0,0.0,
Doug Edwards,-10.2,0.2,0.1,0.0,
Jackie Robinson,-11.6,0.2,0.1,0.0,
Luke Jackson,-16.1,0.1,0.1,0.0,0.0
Ben Davis,-18.7,0.1,0.1,0.0,0.0
Dennis Bell,-19.3,0.1,0.0,0.0,
Easy Parham,-19.7,0.3,0.1,0.0,
Alando Tucker,-21.3,0.2,0.1,0.0,
Pops Mensah-Bonsu,-33.5,0.3,0.0,0.0,0.0
Bob Bigelow,-39.4,0.4,0.0,0.0,0.0
Mouhamed Sene,-41.7,0.2,0.2,0.0,
