Player,Sim,1,2,3,4,5,6,7
Jrue Holiday,,5.7,4.2,3.4,3.4,3.3,1.5,1.2
Darwin Cook,91.7,6.0,3.9,3.6,3.0,2.7,1.6,1.2
Kevin Grevey,90.8,5.8,4.4,3.6,3.4,3.3,0.7,0.1
Vernon Maxwell,90.0,5.9,3.9,3.9,3.5,2.8,1.9,1.5
O.J. Mayo,89.8,5.6,4.2,3.5,3.4,2.8,2.4,0.1
John Williamson,89.4,5.1,4.2,3.9,3.4,3.3,2.8,1.3
Pooh Richardson,88.5,5.9,4.4,4.1,4.0,3.8,2.1,1.4
Ramon Sessions,88.4,5.6,4.4,4.3,3.7,2.9,1.1,0.7
Chris Childs,88.0,5.8,3.9,3.7,2.9,2.2,2.1,1.2
Tyreke Evans,87.9,5.4,4.6,4.4,3.1,2.7,1.6,1.4
John Long,87.6,5.3,4.7,3.6,3.6,3.3,2.4,0.2
