Player,Sim,1,2,3,4,5,6,7,8,9,10
Gordan Giricek,,2.4,1.9,1.8,1.6,0.5,-0.2,,,,
Med Park,88.5,1.9,1.9,1.8,1.6,0.4,,,,,
Jerry Fleishman,85.5,2.2,2.1,1.6,1.3,0.6,,,,,
Iman Shumpert,84.6,2.4,2.0,1.9,1.7,1.5,,,,,
Lee Mayberry,84.1,2.1,1.8,1.6,1.6,0.4,0.4,-0.1,,,
Leon Wood,78.1,2.2,2.0,1.9,0.6,0.3,-0.2,,,,
Brian Roberts,77.8,2.2,2.2,1.8,1.0,,,,,,
Al Ferrari,76.3,3.3,1.9,1.4,1.4,0.9,0.0,,,,
Al Bianchi,75.7,2.4,1.9,1.8,1.5,0.8,0.8,0.2,-0.1,-0.4,-0.6
Greg Minor,75.4,3.0,2.1,1.7,0.8,0.6,,,,,
Alonzo Gee,75.1,2.4,1.9,1.9,1.2,1.0,0.9,0.4,,,
