Player,Sim,1,2,3,4,5,6,7
Chris Quinn,,2.6,2.1,0.6,0.1,0.1,-0.2,
Johnny McCarthy,84.4,2.6,1.9,0.5,0.2,-0.1,-0.4,
Shabazz Muhammad,83.0,2.7,2.0,0.3,,,,
Trey Burke,82.5,2.4,2.1,0.9,,,,
Hollis Thompson,81.4,2.6,2.0,1.2,,,,
Travis Diener,81.4,2.5,1.9,0.7,0.6,0.0,,
Maurice McHartley,80.8,2.4,1.8,0.8,,,,
Tex Ritter,80.0,2.4,2.3,1.0,,,,
Rodrigue Beaubois,79.3,2.2,2.0,0.4,0.2,,,
James Robinson,76.7,2.3,1.9,1.2,0.2,0.2,0.0,-0.1
Tim Hardaway,76.6,3.1,1.9,0.8,,,,
