Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Vitaly Potapenko,,3.4,3.1,2.5,2.2,1.5,1.1,1.0,0.5,0.2,0.1,-0.1,,
Joel Anthony,85.4,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2,,,,
Jim Barnes,85.1,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,,,,,
Mike Brown,84.8,3.7,3.7,2.4,1.5,1.5,1.4,1.0,0.7,0.2,0.1,-0.4,,
Duane Causwell,84.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0.0,0.0,,
Luc Longley,84.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,,,
Nat Clifton,82.5,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,,,,,
Hank Finkel,82.3,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0,,,,
Bill Wennington,81.9,3.5,2.8,2.3,2.1,2.0,1.3,1.2,0.9,0.8,0.5,0.4,0.1,-0.3
Leon Douglas,80.6,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,,,,,
Len Elmore,78.4,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,,,
