Player,Sim,1,2,3
Julyan Stone,,0.4,0.2,0.1
Derrick Dial,90.9,0.4,0.1,0.1
Lance Blanks,89.2,0.4,0.2,0.1
Anthony Parker,87.3,0.4,0.2,0.0
Milt Williams,86.6,0.4,0.2,0.1
Bob Duffy,82.8,0.3,0.1,0.1
Jeff McInnis,79.3,0.3,0.2,0.1
Drew Barry,74.3,0.3,0.2,0.1
Malcolm Lee,72.6,0.4,0.1,0.0
Kevin Williams,69.6,0.6,0.1,0.1
Randy Woods,68.3,0.3,0.2,0.1
