Player,Sim,1,2,3,4,5,6,7,8,9,10
Cory Joseph,,4.5,3.5,2.9,0.9,0.0,,,,,
Skeeter Swift,89.5,4.3,3.4,2.7,1.8,0.0,,,,,
Oliver Taylor,87.0,3.9,3.8,2.8,0.4,,,,,,
Billy Kenville,86.6,4.5,3.9,3.0,1.4,0.5,0.4,,,,
Al Smith,84.1,4.5,3.3,1.8,0.9,0.6,,,,,
Charles Dudley,82.5,4.6,4.0,3.6,1.6,0.2,-0.1,,,,
Eddie Robinson,82.1,4.0,3.0,2.2,0.8,0.2,,,,,
Rudy Fernandez,81.4,6.1,3.8,3.0,1.2,,,,,,
Paul Hoffman,81.4,4.7,4.1,2.2,1.1,0.8,,,,,
Matt Carroll,80.9,4.6,3.0,2.6,0.8,0.7,0.0,0.0,-0.1,-0.1,-0.6
Bradley Beal,80.7,4.0,3.7,3.0,2.7,,,,,,
