Season,Team,Lg,Salary
2011-12,San Antonio Spurs,NBA,"$1,028,400"
2012-13,San Antonio Spurs,NBA,"$1,105,560"
2013-14,San Antonio Spurs,NBA,"$1,120,920"
2014-15,San Antonio Spurs,NBA,"$2,023,261"
2015-16,Toronto Raptors,NBA,"$7,000,000"
