Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jameer Nelson,,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5
Lou Williams,92.2,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,
J.R. Smith,92.1,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Derek Fisher,91.2,5.8,5.7,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Nate McMillan,91.0,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8
Tyrone Corbin,90.9,6.8,6.7,5.6,5.4,5.4,5.0,4.4,3.0,2.5,2.1,1.2,0.1
Sedale Threatt,89.2,7.3,7.1,4.6,4.6,4.5,3.8,3.4,2.7,2.5,2.1,1.3,0.1
Aaron McKie,88.8,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4,0.1
Slater Martin,88.6,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,
Jalen Rose,88.4,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5
Vinnie Johnson,88.4,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,0.2
