Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Jameer Nelson,,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.8,2.5,2.1,1.4,0.5,,
Lou Williams,92.2,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,,,
J.R. Smith,92.1,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2,,
Nate McMillan,91.0,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,,
Craig Ehlo,88.9,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0.0
Aaron McKie,88.7,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,2.0,1.6,1.4,0.1,0.1,
Slater Martin,88.6,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,,,
Antonio Daniels,88.4,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,1.5,0.0,-1.3,
Brian Winters,88.1,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,,,
Jalen Rose,87.8,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,
Vinnie Johnson,87.8,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,
