Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1999-00,19,MICHIGANST,37,582,79,157,8,27,23,42,,153,23,20,6,38,56,189,.503,.296,.548,15.7,5.1,4.1,0.6
2000-01,20,MICHIGANST,33,940,182,362,49,122,73,106,,195,73,38,28,42,74,486,.503,.402,.689,28.5,14.7,5.9,2.2
