Player,Sim,1,2,3,4,5,6,7,8,9
Anthony Randolph,,1.6,1.5,1.1,0.6,0.5,0.5,,,
Rafael Addison,84.3,1.5,1.5,0.9,0.4,0.4,0.2,,,
John Wallace,82.5,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,
Reggie Slater,80.8,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1,
Tony Brown,78.5,1.8,1.3,0.9,0.5,0.2,0.2,0.0,,
Charles Davis,77.3,2.1,1.5,1.0,0.9,0.5,0.3,-0.2,-0.3,
Michael Ruffin,76.3,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
Henry Walker,74.0,1.9,1.1,0.9,0.5,0.5,,,,
Major Jones,73.9,1.3,1.3,1.2,0.9,0.7,0.1,,,
Cliff Meely,73.9,1.8,1.2,1.0,0.4,0.2,,,,
Solomon Jones,73.2,1.9,1.6,0.8,0.5,0.3,0.0,0.0,-0.1,
