Player,Sim,1,2,3,4,5
E'Twaun Moore,,1.8,1.7,0.8,0.2,0.2
Alan Anderson,83.6,1.7,1.6,0.4,0.3,0.1
Keith Askins,81.2,1.9,1.4,0.7,0.6,0.3
Randy Brown,81.2,1.9,1.6,1.5,0.4,0.3
Mike Holton,80.4,2.3,1.3,0.8,0.3,0.2
James Robinson,79.8,2.3,1.9,1.2,0.2,0.2
Corky Devlin,78.3,1.8,1.2,0.8,,
Sidney Lowe,78.3,1.7,1.5,0.5,0.3,
Maurice McHartley,78.2,2.4,1.8,0.8,,
Kenny Higgs,77.8,2.2,1.5,1.0,,
Tony Smith,77.4,1.7,1.5,1.3,0.5,0.1
