Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Steve Francis,,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,,,,,
Kyle Lowry,88.8,11.7,11.6,7.1,7.0,5.6,4.9,4.3,3.6,3.4,0.5,,,,
Michael Redd,86.2,10.8,9.7,8.0,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,,
James Silas,84.4,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,,,
Rajon Rondo,84.2,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,1.6,1.1,,,,
Anfernee Hardaway,82.7,14.4,10.7,8.1,7.8,7.1,5.0,2.9,2.3,2.0,1.1,0.4,0.2,0.2,-0.2
Jim Paxson,82.6,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,,,
Archie Clark,82.4,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7,,,,
Paul Pressey,82.3,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3.0,2.0,0.3,0.1,,,
George Hill,82.3,9.7,7.8,6.7,6.2,6.1,5.4,4.0,2.1,,,,,,
Mike Conley,82.1,9.9,8.2,6.8,6.6,6.4,5.3,4.5,4.0,1.1,,,,,
