Player,Sim,1,2,3,4,5,6,7,8,9
Ramon Sessions,,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.7
Pooh Richardson,92.1,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2
Don Ohl,91.6,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,0.8
Bob Weiss,89.7,5.6,4.7,4.4,4.3,3.6,2.9,1.7,0.1,0.0
Rory Sparrow,89.0,5.6,4.3,4.2,4.2,3.7,1.6,1.0,0.5,-0.1
Allen Leavell,88.9,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6
Ricky Davis,88.7,5.7,5.0,4.4,4.2,3.0,2.8,1.1,0.2,0.2
Matt Guokas,87.9,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5
Kevin Grevey,87.4,5.8,4.4,3.6,3.4,3.3,2.0,1.0,0.7,0.1
Luke Ridnour,87.3,6.2,5.4,4.4,4.0,3.4,3.3,2.3,1.2,0.9
Jarrett Jack,87.0,5.6,4.8,4.8,4.1,3.8,3.2,2.4,2.3,1.2
