Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Ramon Sessions,,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.7,,,,
Rory Sparrow,93.4,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1.0,0.7,0.5,-0.1,-0.4,
Pooh Richardson,91.9,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,,
Bob Weiss,89.6,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0.0,
Don Ohl,89.1,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,,,
Earl Boykins,89.0,6.0,4.5,4.1,3.5,2.9,2.3,1.0,1.0,0.8,0.3,0.1,0.0,-0.3
Allen Leavell,88.6,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,,
Ricky Davis,88.0,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4,
Kevin Grevey,87.7,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,
Matt Guokas,87.1,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,,,
Brandon Jennings,86.0,5.8,5.5,4.2,3.9,3.9,3.3,1.5,,,,,,
