Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,21,1,175,24,58,.414,17,39,.436,7,19,.368,.560,8,11,.727,3,11,14,2,8,3,9,22,73
1 season,,IND,NBA,,12,0,82,12,28,.429,6,16,.375,6,12,.500,.536,6,9,.667,1,4,5,1,3,3,5,13,36
1 season,,NYK,NBA,,9,1,93,12,30,.400,11,23,.478,1,7,.143,.583,2,2,1.000,2,7,9,1,5,0,4,9,37
