Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,89,89,3357,608,1033,.589,0,4,.000,608,1029,.591,.589,485,893,.543,365,886,1251,124,78,229,284,360,1701
5 seasons,,ORL,NBA,,57,57,2246,393,655,.600,0,3,.000,393,652,.603,.600,347,590,.588,240,578,818,81,45,158,200,237,1133
3 seasons,,HOU,NBA,,28,28,985,189,336,.563,0,1,.000,189,335,.564,.563,122,267,.457,115,275,390,39,31,63,68,106,500
1 season,,LAL,NBA,,4,4,126,26,42,.619,0,0,,26,42,.619,.619,16,36,.444,10,33,43,4,2,8,16,17,68
