Offensive Rebound Pct
2005-06 NBA 12.1 (8th)
2008-09 NBA 13.8 (3rd)
2009-10 NBA 12.0 (10th)
2010-11 NBA 12.6 (9th)
2016-17 NBA 16.2 (2nd)
Active 11.9 (7th)
Career NBA 11.9 (25th)
Career 11.9 (27th)
