Defensive Box Plus/Minus
2006-07 NBA 3.1 (10th)
2008-09 NBA 4.3 (1st)
2009-10 NBA 5.0 (2nd)
2010-11 NBA 3.9 (6th)
2011-12 NBA 3.7 (4th)
Active 2.9 (5th)
Career NBA 2.9 (23rd)
Career 2.9 (26th)
