True Shooting Pct
2006-07 NBA .619 (5th)
2007-08 NBA .619 (7th)
2009-10 NBA .630 (2nd)
2010-11 NBA .616 (6th)
2016-17 NBA .641 (8th)
Active .600 (5th)
Career NBA .600 (18th)
Career .600 (19th)
