Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dwight Howard,,14.4,13.8,13.2,12.9,9.7,8.6,8.0,7.7,7.6,7.3,6.6,3.6
Walt Bellamy,88.9,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,4.9
Bob Lanier,88.9,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.6,5.9,5.2
Patrick Ewing,88.7,13.5,13.1,13.0,10.9,10.6,10.0,9.8,9.6,8.1,6.8,3.5,3.1
Zelmo Beaty,87.0,16.0,15.1,11.8,10.8,10.3,9.0,8.4,7.7,5.2,4.8,4.5,2.3
Moses Malone,85.9,15.4,15.1,14.1,13.7,11.9,11.9,10.2,9.5,8.9,8.7,6.1,1.9
Wes Unseld,84.6,11.1,10.8,10.7,10.6,10.0,9.5,8.7,8.4,8.3,6.8,6.2,3.6
Dan Issel,82.8,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3
Hakeem Olajuwon,82.6,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,8.6
Jack Sikma,82.4,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8.0,7.8,7.4,5.4
Ed Macauley,82.4,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2,,
