Defensive Win Shares
2006-07 NBA 5.8 (3rd)
2007-08 NBA 6.4 (1st)
2008-09 NBA 7.6 (1st)
2009-10 NBA 7.1 (1st)
2010-11 NBA 7.7 (1st)
2011-12 NBA 4.4 (3rd)
2012-13 NBA 4.8 (6th)
Active 63.7 (1st)
Career NBA 63.7 (21st)
Career 63.7 (23rd)
